,Location Names,County,"Notes for ""Other",Product Description,Program,Proteins LBS,Starch LBS,Veg LBS,Fruit LBS,Baked Goods LBS,Dairy LBS,Grocery LBS,Indvid Meal LBS,Individual Meals,Total Pounds,Column1,Column2,Missing Addresses
CMYC,Charles Martin Youth Center,SJ,0,0,Backpack,0,0,0,0,0,0,198,150,120,348,78,0,
CSC,Clubhouse of St. Joseph County,SJ,0,0,CCFN,0,0,0,43.5,18,0,61.25,7.5,6,130.25,78,0,
CSO,Community Support Other,ELK,0,0,Backpack,0,0,0,0,0,0,0,15,12,15,78,0,
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,327.5,22,160,5.5,24,257.4,135.5,75,60,1006.9,78,0,
FAF,Community Fridge,SJ,0,0,CCFN,53,0,15,45,0,7.25,116.5,30,24,266.75,78,0,"911 California Ave, South Bend, IN 46616"
LS,Legacy Steps,SJ,0,0,CCFN,0,0,0,0,0,0,15,0,0,15,78,0,
IUPFP,Ironwood United Pentecostal Food Pantry,SJ,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,30,0,10,0,0,0,0,40,78,0,
MFP,Mishawaka Food Pantry,SJ,0,0,CCFN,0,0,0,0,280,0,0,0,0,280,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,0,0,0,0,0,198,137,0,0,335,78,0,
NOD,Nappanee Open Door,ELK,0,0,CCFN,0,0,0,0,42,0,0,0,0,42,78,0,
OC,Oakhaven Community,MAR,0,0,CCFN,45,0,0,0,49,0,0,0,0,94,78,0,"500 S Montgomery St, Bremen, IN 46506"
RA,Robertsons Apartments,SJ,0,0,CCFN,261,0,45.8,241,108,257,883.9,30,24,1826.7,78,0,"211 S Michigan St, South Bend, IN 46601"
STC,S A K A L the Center,ELK,0,0,CCFN,37.5,0,0,0,0,221,10,0,0,268.5,78,0,
SASKC,"Salvation Army: St Joe, Kroc Center",SJ,0,0,CCFN,0,72,0,27.5,0,28.7,211,22.5,18,361.7,78,0,"900 W Western Ave, South Bend, IN 46601"
SBCS,South Bend Community Schools: Madison STEAM Academy,SJ,0,0,Backpack,0,0,0,0,0,0,0,615,492,615,78,0,
STC,S A K A L the Center,ELK,0,0,CCFN,85,0,9,174,0,153,170,0,0,591,78,0,
